Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy	KoFamScan
k141_10342_1_1176_+	PF00488;PF20297	MutS domain V;MutS2 and Smr-associated SH3 domain			IPR000432;IPR046893	DNA mismatch repair protein MutS, C-terminal;MutS2 and Smr-associated SH3 domain	GO:0005524;GO:0006298;GO:0030983;-								K07456
k141_10356_1_217_+															
k141_10356_282_1867_+															
k141_10358_197_447_-															
k141_10358_2146_2216_-															
k141_10358_595_2091_+	PF07833;PF09992	Copper amine oxidase N-terminal domain;Phosphodiester glycosidase			IPR012854;IPR018711	Copper amine oxidase-like, N-terminal;Phosphodiester glycosidase	-								
k141_10361_1_139_+															
k141_10361_141_1733_+	PF02384;PF12161	N-6 DNA Methylase;HsdM N-terminal domain			IPR003356;IPR022749	DNA methylase, adenine-specific;N6 adenine-specific DNA methyltransferase, N-terminal domain	GO:0003677;GO:0006306;GO:0008170;-								K03427
k141_10361_14274_14428_-															
k141_10361_1787_6083_+	PF01420;PF04313;PF11867;PF18766	Type I restriction modification DNA specificity domain;Type I restriction enzyme R protein N terminus (HSDR_N);Domain of unknown function (DUF3387);SWI2/SNF2 ATPase			IPR000055;IPR007409;IPR021810;IPR040980;IPR004473	Type I restriction modification DNA specificity domain;Restriction endonuclease, type I, HsdR, N-terminal;Type I restriction enzyme HindI endonuclease subunit-like, C-terminal;SWI2/SNF2 ATPase;Restriction endonuclease, type I, HsdR	GO:0003677;GO:0004519;GO:0006304;-;GO:0005524;GO:0009035;GO:0009307			TIGR00348	hsdR: type I site-specific deoxyribonuclease, HsdR family				K01153;K01154
k141_10361_6168_14064_+	PF00270;PF00271;PF09369	DEAD/DEAH box helicase;Helicase conserved C-terminal domain;MrfA Zn-binding domain			IPR011545;IPR001650;IPR018973	DEAD/DEAH box helicase domain;Helicase, C-terminal;MrfA-like Zn-binding domain	GO:0003676;GO:0005524;-								K06877
k141_10376_1_375_-	PF00111;PF17650	2Fe-2S iron-sulfur cluster binding domain;RACo linker region			IPR001041;IPR040506	2Fe-2S ferredoxin-type iron-sulfur binding domain;RACo linker region	GO:0051536;-								
k141_10376_1745_2380_-	PF02310;PF02607	B12 binding domain;B12 binding domain			IPR006158;IPR003759	Cobalamin (vitamin B12)-binding domain;Cobalamin (vitamin B12)-binding module, cap domain	GO:0031419;GO:0046872;-								
k141_10376_2476_3873_-	PF13347	MFS/sugar transport protein			-	-									
k141_10376_4365_5600_-	PF01208	Uroporphyrinogen decarboxylase (URO-D)			IPR000257	Uroporphyrinogen decarboxylase (URO-D)	GO:0004853;GO:0006779								
k141_10376_500_1741_-	PF01208	Uroporphyrinogen decarboxylase (URO-D)			IPR000257	Uroporphyrinogen decarboxylase (URO-D)	GO:0004853;GO:0006779								
k141_10376_5732_6982_-	PF01208	Uroporphyrinogen decarboxylase (URO-D)			IPR000257	Uroporphyrinogen decarboxylase (URO-D)	GO:0004853;GO:0006779								
k141_10376_7058_8338_-	PF01208	Uroporphyrinogen decarboxylase (URO-D)			IPR000257	Uroporphyrinogen decarboxylase (URO-D)	GO:0004853;GO:0006779								
k141_10376_8367_9053_-	PF07796	Protein of unknown function (DUF1638)			IPR012437	Domain of unknown function DUF1638	-								
k141_10376_9114_9471_-	PF14574	C-terminal domain of RACo the ASKHA domain			IPR027980	RACo, C-terminal	-								
k141_10380_1175_1471_+															
k141_10380_1582_3260_+	PF00665;PF01527;PF01695;PF13276;PF13333	Integrase core domain;Transposase;IstB-like ATP binding protein;HTH-like domain;Integrase core domain			IPR001584;IPR002514;IPR002611;IPR025948	Integrase, catalytic core;Transposase IS3/IS911family;IstB-like ATP-binding protein;HTH-like domain	GO:0015074;GO:0003677;GO:0004803;GO:0006313;GO:0005524;-								K07497;K07483
k141_10380_3339_3620_+															
k141_10380_3859_3990_+															
k141_10380_4142_6029_+	PF09334;PF19303	tRNA synthetases class I (M);Anticodon binding domain of methionyl tRNA ligase			IPR023458;IPR015413;IPR041872;IPR014758	Methionine-tRNA ligase, type 1;Methionyl/Leucyl tRNA synthetase;Methionyl-tRNA synthetase, anticodon-binding domain;Methionyl-tRNA synthetase	GO:0004825;GO:0000166;GO:0004812;GO:0005524;GO:0006418;-;GO:0006431			TIGR00398	metG: methionine--tRNA ligase	MF_00098	Methionine--tRNA ligase [metG].		K01874
k141_10380_449_1117_+	PF01909	Nucleotidyltransferase domain			IPR002934	Polymerase, nucleotidyl transferase domain	GO:0016779								
k141_10380_6130_7032_-	PF00126;PF03466	Bacterial regulatory helix-turn-helix protein, lysR family;LysR substrate binding domain			IPR000847;IPR005119	Transcription regulator HTH, LysR;LysR, substrate-binding	GO:0003700;GO:0006355;-								
k141_10380_7155_8839_+	PF00300;PF01116	Histidine phosphatase superfamily (branch 1);Fructose-bisphosphate aldolase class-II			IPR013078;IPR000771;IPR006411	Histidine phosphatase superfamily, clade-1;Fructose-bisphosphate aldolase, class-II;Fructose-bisphosphate aldolase, class II, yeast/E. coli subtype	-;GO:0005975;GO:0008270;GO:0016832;GO:0004332;GO:0006096			TIGR00167;TIGR01520	cbbA: ketose-bisphosphate aldolase;FruBisAldo_II_A: fructose-bisphosphate aldolase, class II				K01624
k141_10380_9089_9184_+															
k141_10389_1252_1822_-	PF00300	Histidine phosphatase superfamily (branch 1)			IPR013078	Histidine phosphatase superfamily, clade-1	-								
k141_10389_1_455_+	PF07591	Pretoxin HINT domain			-	-									
k141_10389_459_755_+															
k141_10389_878_1162_+															
k141_10405_1_1289_-															
k141_10405_1482_2547_-	PF00586;PF02769	AIR synthase related protein, N-terminal domain;AIR synthase related protein, C-terminal domain			IPR016188;IPR010918	PurM-like, N-terminal domain;PurM-like, C-terminal domain	-								K04655
k141_10405_2554_3492_-	PF04055	Radical SAM superfamily			IPR007197	Radical SAM	GO:0003824;GO:0051536								
k141_10405_3568_4385_+															
k141_10405_4581_5603_-	PF03816	LytR_cpsA_psr family			IPR004474	Cell envelope-related transcriptional attenuator domain	-			TIGR00350	lytR_cpsA_psr: cell envelope-related function transcriptional attenuator common domain				K01005
k141_10405_5771_5948_+															
k141_10405_6026_7076_-															
k141_10409_1_263_-															
k141_10409_3505_3627_+															
k141_10409_353_3280_-	PF00271;PF04851	Helicase conserved C-terminal domain;Type III restriction enzyme, res subunit			IPR001650;IPR006935	Helicase, C-terminal;Helicase/UvrB, N-terminal	-;GO:0003677;GO:0005524;GO:0016787								
k141_10409_3724_4347_-	PF00239	Resolvase, N terminal domain			IPR006119	Resolvase, N-terminal catalytic domain	GO:0000150;GO:0003677;GO:0006310								
k141_10409_4617_4817_-															
k141_10409_4824_4958_-															
k141_10409_5083_5836_-															
k141_10416_1_1279_-															
k141_10416_1360_2466_-															
k141_10416_2646_4037_-															
k141_1042_10130_11188_+	PF01938	TRAM domain			IPR002792	TRAM domain	-								
k141_1042_11206_12383_+	PF01128;PF02542	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;YgbB family			IPR003526;IPR001228;IPR026596;IPR034683	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;Bifunctional enzyme IspD/IspF;Cytidylyltransferase IspD/TarI	GO:0008685;GO:0016114;GO:0008299;GO:0050518;-;GO:0070567			TIGR00151;TIGR00453	ispF: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;ispD: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	MF_00107;MF_00108;MF_01520	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [ispF].;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [ispD].;Bifunctional enzyme IspD/IspF [ispDF].		K12506;K00991;K01770
k141_1042_1_180_-															
k141_1042_12747_13256_+	PF03330	Lytic transglycolase			IPR034718;IPR009009;IPR012997	Endolytic peptidoglycan transglycosylase RlpA;RlpA-like protein, double-psi beta-barrel domain;Rare lipoprotein A	GO:0016829;-			TIGR00413	rlpA: rare lipoprotein A	MF_02071	Endolytic peptidoglycan transglycosylase RlpA [rlpA].		K03642
k141_1042_2469_3312_+	PF05848;PF17727	CtsR N-terminal HTH domain;CtsR C-terminal dimerization domain			IPR040465;IPR041473	CtsR, N-terminal HTH domain;CtsR, C-terminal dimerization domain	-								K03708
k141_1042_298_2355_+	PF00009;PF00679;PF03764;PF14492	Elongation factor Tu GTP binding domain;Elongation factor G C-terminus;Elongation factor G, domain IV;Elongation Factor G, domain III			IPR000795;IPR000640;IPR005517;IPR041095;IPR005225;IPR004540	Translational (tr)-type GTP-binding domain;Elongation factor EFG, domain V-like;Translation elongation factor EFG/EF2, domain IV;Elongation Factor G, domain II;Small GTP-binding protein domain;Translation elongation factor EFG/EF2	GO:0003924;GO:0005525;-;GO:0003746;GO:0006414			TIGR00231;TIGR00484	small_GTP: small GTP-binding protein domain;EF-G: translation elongation factor G				K02355
k141_1042_3315_4909_+	PF00217;PF02151	ATP:guanido phosphotransferase, C-terminal catalytic domain;UvrB/uvrC motif			IPR023660;IPR022414;IPR001943	Protein arginine kinase;ATP:guanido phosphotransferase, catalytic domain;UVR domain	GO:0016775;GO:0016301;GO:0016772;GO:0005515					MF_00602	Protein-arginine kinase [mcsB].		K19405;K19411
k141_1042_4919_7357_+	PF00004;PF02861;PF07724;PF10431;PF17871	ATPase family associated with various cellular activities (AAA);Clp amino terminal domain, pathogenicity island component;AAA domain (Cdc48 subfamily);C-terminal, D2-small domain, of ClpB protein;AAA lid domain			IPR003959;IPR004176;IPR019489;IPR041546	ATPase, AAA-type, core;Clp,  repeat (R) domain;Clp ATPase, C-terminal;ClpA/ClpB, AAA lid domain	GO:0005524;GO:0016887;-								K03696
k141_1042_7396_8818_+	PF13481;PF13541;PF18073	AAA domain;Subunit ChlI of Mg-chelatase;Rubredoxin metal binding domain			IPR004504;-;IPR041166	DNA repair protein RadA;-;LapB,  rubredoxin metal binding domain	GO:0003684;GO:0005524;GO:0006281;-			TIGR00416	sms: DNA repair protein RadA	MF_01498	DNA repair protein RadA [radA].		K04485
k141_1042_8870_9265_-															
k141_1042_9498_9974_+	PF02559	CarD-like/TRCF domain			IPR003711	CarD-like/TRCF, RNAP-interacting domain	-								K07736
k141_10444_1138_1359_+															
k141_10444_29_546_-															
k141_10444_2998_3131_-	PF01695	IstB-like ATP binding protein			IPR002611	IstB-like ATP-binding protein	GO:0005524								
k141_10505_1779_2855_-															
k141_10505_1_92_+															
k141_10505_761_1774_+															
k141_10505_95_703_-	PF04961	Formiminotransferase-cyclodeaminase			IPR007044	Cyclodeaminase/cyclohydrolase	GO:0003824;GO:0044237								
k141_10544_1_409_+	PF01195	Peptidyl-tRNA hydrolase			IPR001328	Peptidyl-tRNA hydrolase	GO:0004045								K01056
k141_10544_475_588_-															
k141_10544_696_1027_+															
k141_10550_1020_1185_+															
k141_10550_1_860_+	PF18765	Polymerase beta, Nucleotidyltransferase			IPR041633	Polymerase beta, nucleotidyltransferase	-								K07076
k141_10564_1175_1283_+															
k141_10564_1_603_-															
k141_10564_967_1059_+															
k141_10567_1_132_+															
k141_10567_2150_2960_-															
k141_10567_3015_11613_-	PF00696;PF00809;PF01118;PF01837;PF02219;PF02310;PF02574;PF02607;PF02774;PF05105;PF12838;PF13840	Amino acid kinase family;Pterin binding enzyme;Semialdehyde dehydrogenase, NAD binding domain;Homocysteine biosynthesis enzyme, sulfur-incorporation;Methylenetetrahydrofolate reductase;B12 binding domain;Homocysteine S-methyltransferase;B12 binding domain;Semialdehyde dehydrogenase, dimerisation domain;Bacteriophage holin family;4Fe-4S dicluster domain;ACT domain			IPR001048;IPR000489;IPR000534;IPR002708;IPR003171;IPR006158;IPR003726;IPR003759;IPR012280;IPR006480;IPR017896;IPR027795;IPR001341;IPR005676	Aspartate/glutamate/uridylate kinase;Pterin-binding domain;Semialdehyde dehydrogenase, NAD-binding;Homocysteine biosynthesis enzyme, sulfur-incorporation;Methylenetetrahydrofolate reductase-like;Cobalamin (vitamin B12)-binding domain;Homocysteine-binding domain;Cobalamin (vitamin B12)-binding module, cap domain;Semialdehyde dehydrogenase, dimerisation domain;Bacteriophage holin family;4Fe-4S ferredoxin-type, iron-sulphur binding domain;CASTOR,  ACT domain;Aspartate kinase;Aspartate-semialdehyde dehydrogenase, peptidoglycan lacking	-;GO:0042558;GO:0016620;GO:0051287;GO:0004489;GO:0006555;GO:0031419;GO:0046872;GO:0008652;GO:0046983;GO:0004072;GO:0050661			TIGR00657;TIGR00978	asp_kinases: aspartate kinase;asd_EA: aspartate-semialdehyde dehydrogenase				K00548;K23975;K00133;K09740;K00297
k141_10567_306_2009_-	PF13304;PF20469	AAA domain, putative AbiEii toxin, Type IV TA system;Overcoming lysogenization defect protein-like, TOPRIM domain			IPR003959;IPR034139	ATPase, AAA-type, core;OLD protein-like, TOPRIM domain	GO:0005524;GO:0016887;-								K07459
k141_10568_1_1219_-	PF03816	LytR_cpsA_psr family			IPR004474	Cell envelope-related transcriptional attenuator domain	-			TIGR00350	lytR_cpsA_psr: cell envelope-related function transcriptional attenuator common domain				K01005
k141_10568_1311_1664_+															
k141_10568_1700_3351_-	PF03746	LamB/YcsF family			IPR005501	LamB/YcsF/PxpA-like	-								K07160
k141_10569_1_188_+															
k141_10569_1318_2548_+															
k141_10569_3279_3422_+	PF13477	Glycosyl transferase 4-like			IPR028098	Glycosyltransferase subfamily 4-like, N-terminal domain	-								
k141_10569_354_839_-															
k141_10569_849_1302_+															
k141_10602_1_1162_-															
k141_10606_1_461_-	PF00565	Staphylococcal nuclease homologue			IPR016071	Staphylococcal nuclease (SNase-like), OB-fold	-								K01174
k141_10606_516_959_-	PF03479	Plants and Prokaryotes Conserved (PCC) domain			IPR005175	PPC domain	-								K06934
k141_10617_1_1613_-	PF00005;PF00664	ABC transporter;ABC transporter transmembrane region			IPR003439;IPR011527	ABC transporter-like, ATP-binding domain;ABC transporter type 1, transmembrane domain	GO:0005524;GO:0016020;GO:0055085;GO:0140359								
k141_10636_1_536_+	PF19567	Capsular polysaccharide synthesis, CpsB/CapC			IPR016667	Capsular polysaccharide synthesis, CpsB/CapC	GO:0004725;GO:0030145								
k141_10636_2944_3301_-															
k141_10636_573_2918_-	PF00534;PF09314	Glycosyl transferases group 1;Domain of unknown function (DUF1972)			IPR001296;IPR015393	Glycosyl transferase, family 1;Domain of unknown function DUF1972	GO:0016757;-								K12996
k141_10637_1_250_+	PF04679	ATP dependent DNA ligase C terminal region			IPR012309	DNA ligase, ATP-dependent, C-terminal	GO:0003910;GO:0006281;GO:0006310								
k141_10637_1272_2663_+															
k141_10637_2775_3023_+	PF02878	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I			IPR005844	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I	GO:0005975;GO:0016868								
k141_10637_286_725_+	PF01336	OB-fold nucleic acid binding domain			IPR004365	OB-fold nucleic acid binding domain, AA-tRNA synthetase-type	GO:0003676								
k141_10637_794_1211_-	PF00484	Carbonic anhydrase			IPR001765	Carbonic anhydrase	GO:0004089;GO:0008270								K01673
k141_10659_1_3028_-	PF00117;PF00478;PF00571;PF00958;PF02540	Glutamine amidotransferase class-I;IMP dehydrogenase / GMP reductase domain;CBS domain;GMP synthase C terminal domain;NAD synthase			IPR022955;IPR005990;IPR017926;IPR001093;IPR000644;IPR001674;IPR022310;IPR004739	GMP synthase;Inosine-5'-monophosphate dehydrogenase;Glutamine amidotransferase;IMP dehydrogenase/GMP reductase;CBS domain;GMP synthase, C-terminal;NAD/GMP synthase;GMP synthase, glutamine amidotransferase	GO:0003922;GO:0006177;GO:0003938;GO:0006164;-;GO:0003824;GO:0005524			TIGR00884;TIGR00888;TIGR01302	guaA_Cterm: GMP synthase (glutamine-hydrolyzing), C-terminal domain;guaA_Nterm: GMP synthase (glutamine-hydrolyzing), N-terminal domain;IMP_dehydrog: inosine-5'-monophosphate dehydrogenase	MF_00344;MF_01964	GMP synthase [glutamine-hydrolyzing] [guaA].;Inosine-5'-monophosphate dehydrogenase [guaB].		K00088;K01951
k141_10659_3055_3126_+															
k141_10659_3264_5344_+	PF14559	Tetratricopeptide repeat			-	-									
k141_10679_1_561_-	PF13450	NAD(P)-binding Rossmann-like domain			-	-									K01854
k141_10679_860_1069_+															
k141_10682_244_534_+															
k141_10682_660_1099_-	PF14667	Polysaccharide biosynthesis C-terminal domain			IPR029303	Polysaccharide biosynthesis protein, C-terminal domain	-								
k141_10693_1_1132_+															
k141_10693_1177_1542_+	PF07963	Prokaryotic N-terminal methylation motif			IPR012902	Prokaryotic N-terminal methylation site	-			TIGR02532	IV_pilin_GFxxxE: prepilin-type N-terminal cleavage/methylation domain				
k141_10714_1_508_+	PF03816	LytR_cpsA_psr family			IPR004474	Cell envelope-related transcriptional attenuator domain	-			TIGR00350	lytR_cpsA_psr: cell envelope-related function transcriptional attenuator common domain				K01005
k141_10714_576_1201_-	PF00534	Glycosyl transferases group 1			IPR001296	Glycosyl transferase, family 1	GO:0016757							GT4	
k141_10727_10291_11156_+	PF02311;PF12833	AraC-like ligand binding domain;Helix-turn-helix domain			IPR003313;IPR018060	AraC-type arabinose-binding/dimerisation domain;DNA binding HTH domain, AraC-type	GO:0006355;GO:0003700;GO:0043565								
k141_10727_11181_12443_+	PF01546;PF07687	Peptidase family M20/M25/M40;Peptidase dimerisation domain			IPR010161;IPR002933;IPR011650	Peptidase M20B, tripeptide aminopeptidase;Peptidase M20;Peptidase M20, dimerisation domain	GO:0006518;GO:0008270;GO:0045148;GO:0016787;-			TIGR01882	peptidase-T: peptidase T	MF_00550	Peptidase T [pepT].		K01258
k141_10727_12538_13986_+	PF13419	Haloacid dehalogenase-like hydrolase			IPR041492;IPR006439	Haloacid dehalogenase-like hydrolase;HAD hydrolase, subfamily IA	-			TIGR01509	HAD-SF-IA-v3: HAD hydrolase, family IA, variant 3				K01838
